tweet_id,created_at,text
1236027641674772482,Fri Mar 06 20:35:28 +0000 2020,@Legendaryziig Brudda if you rapping and started rapping after 2010 and you not making sure your paper straight or learning the in’s and out of your contract you deserve to get jacked! That’s crazy to me help me understand?
1236028170681413641,Fri Mar 06 20:37:34 +0000 2020,"The NBA has fined Mark Cuban $500,000 (!!!) after going on the court on February 22nd to confront the referees, and publicly complaining about them on Twitter."
1236028426332577794,Fri Mar 06 20:38:35 +0000 2020,@KerryPicket @TedNesi How could a member of such a robust and deliberative body of lawmakers accept what was said by @SenSchumer to 2 Supreme Court Justices? Schumer said “he won’t know what hit him” how can that be taken except as a threat. @SenWhitehouse @senatemajldr @ChuckGrassley @LindseyGrahamSC
1236028773994291202,Fri Mar 06 20:39:58 +0000 2020,"Should we hold our breath waiting for you to condemn Senator Schumer's threats against 2 Supreme Court justices?
https://t.co/y55ztSFjSb"
1236029478746365953,Fri Mar 06 20:42:46 +0000 2020,"I’m glad nobody be storming me about what I post on my shit cus I’m posting watever and whoever I want, for the newbies if they make it that far to get posted Lls"
1236030648801824770,Fri Mar 06 20:47:25 +0000 2020,"TenNapel has worked with countless people in Hollywood, on huge projects, for decades. He likely has hundreds of friends who disagree with his politics. That’s a beautiful thing. And MAYBE Northcott isn’t far-left enough for some comic industry professionals. (5/6)"
1236030733203931136,Fri Mar 06 20:47:45 +0000 2020,I can’t afford to be on that hot shit you got me fucked up
1236030783359500288,Fri Mar 06 20:47:57 +0000 2020,"@jendoesthething Minori, you are NOT a delinquent.

Takeru is just, you know, a type. Kinda tsun, hot cosplayer, athletic."
1236030879547437063,Fri Mar 06 20:48:20 +0000 2020,"Lowkey i might be there

Politics have drained me on this app, and honestly its only hurt my ability to debate politics IRL, not help"
1236031332792373249,Fri Mar 06 20:50:08 +0000 2020,Fuck what y’all Talkin bout uzi album hot as shit 😂🔥🔥🔥
1236031357941211136,Fri Mar 06 20:50:14 +0000 2020,Women are annoying but they are hot
1236031421560557569,Fri Mar 06 20:50:29 +0000 2020,"@CobraMarketView $SPX &amp; $NYMO can be made out to your bias: either a Bear Flag, or a bottoming ""W"" pattern."
1236031644194287617,Fri Mar 06 20:51:22 +0000 2020,"no i don't just like bakugo cause he's hot, though i will not deny my homosexual attraction to that boy-"
