tweet_id,created_at,text
1236027582690164736,Fri Mar 06 20:35:14 +0000 2020,@Neeeaaaoooww @kamaalrkhan Last tweet says that if people were so honest and idealist then there would have been no need of any government machinery and other agencies like judiciary logo kuch karte nahin crime nahin hota court’s ki need nahin hoti but that’s is not how things work.
1236027599773630464,Fri Mar 06 20:35:18 +0000 2020,@BernieSanders OH MY FUCKING GOD!!! OOOOOHHHHHHH RUINED. HE CANT COME BACK FROM THAT
1236027658661695491,Fri Mar 06 20:35:32 +0000 2020,People need to understand that you can believe in God and not believe in heaven and hell.
1236027679113195528,Fri Mar 06 20:35:37 +0000 2020,"When you have to send a story in for editing on @literotica because it I missed out ""be"" in one sentence. 🤬 Thank god it isn't too difficult to do that on literotica. 

#erotica #amwriting"
1236027679515856897,Fri Mar 06 20:35:37 +0000 2020,"Being a football fan entitles you to an opinion, it doesn’t entitle you to abuse people. Disgusting. #MUFC https://t.co/IQxQFzDXxa"
1236027700504076289,Fri Mar 06 20:35:42 +0000 2020,in his defense. checkers employees rude as fuck with them greasy ass bags.
1236027708171325442,Fri Mar 06 20:35:44 +0000 2020,"THE DEMOCRATIC PARTY IS WOUNDED &amp; DANGEROUS @AmericanThinker

#QuidProSleepyJoe

""It seems no coincidence that Joe Biden's big Super Tuesday win was followed by Democrat Chuck Schumer threatening conservative members of the Supreme Court on Wednesday.""

https://t.co/StwbW0VyAY https://t.co/RIEH5vs8VB"
1236027713380474880,Fri Mar 06 20:35:45 +0000 2020,All this over a fucking joint. This shit is hard to watch.
1236027721479667712,Fri Mar 06 20:35:47 +0000 2020,"I am waiting expectantly to see the flood of conservative evangelicals explaining that the recent #TennesseeTornado is God's punishment for sheltering a Nazi for all those years. 

C'mon, evangelicals. I'm waiting.

https://t.co/uOsWLrV9j7"
1236027725791428608,Fri Mar 06 20:35:48 +0000 2020,"Does So-Called ""Israel"" Of Today Seem Like Gods Zion, Or More Like A Heathen Nation?  Do They Even Believe In God Any Longer?  Do They Recognize His Christ As Messiah?  You Think About That, And Then We Will Decide Who Is Spewing Venom, Okay?"
1236027733651664904,Fri Mar 06 20:35:50 +0000 2020,"Spoken like a true sociopath in defense of their AR-15. This rhetoric is dehumanizing, dangerous and disgusting."
1236027733924343816,Fri Mar 06 20:35:50 +0000 2020,There’s one guy I can name that would not be phased by this Clipper defense. Kevin Durant’s ability to repeatedly rise up over guys as if its a shootaround is the most lethal weapon in the game. He is a 99 overall. It doesn’t matter who’s guarding him. https://t.co/EOhR6ZpWeZ
1236027750508421120,Fri Mar 06 20:35:54 +0000 2020,@MrBeastYT you’re the worst. I’m so embarrassed... How could you publicly shame me like this? I thought you had my back. This is the last straw. MrBeast I will expose you for the monster you truly are.
1236027750873366533,Fri Mar 06 20:35:54 +0000 2020,"The political ends for Bernie here...was avoiding nuclear war?

https://t.co/ptUULSBacU"
1236027788546760705,Fri Mar 06 20:36:03 +0000 2020,WHY is she threatening a god?
1236027847312945153,Fri Mar 06 20:36:17 +0000 2020,@Chiya_20 God hate when that happens. that’s why I stayed away from internet till I watched it other media did the same thing spoiling everything &gt;:(
1236027872294260736,Fri Mar 06 20:36:23 +0000 2020,"I feel so bad for James Charles at this point. It’s fucked up to bait anyone into flirting with you then “expose” them for liking you? Like fuck all these straight guys who think this is ok. can we just call it what it is, homophobia. Trying to make gay people look like predators"
1236027872722247682,Fri Mar 06 20:36:23 +0000 2020,£1m lottery boost for arts at Old Fire Station helps the homeless https://t.co/8UF8l4YSbi
1236027876471910401,Fri Mar 06 20:36:24 +0000 2020,That’s why the @FBI should be investigating @SenSchumer then after that they should #ArrestChuckSchumer like anyone else threatening and encouraging violence against our Supreme Court Justices. This cannot stand. #NoOneIsAboveTheLaw
1236027876841005056,Fri Mar 06 20:36:24 +0000 2020,"Relatives of those died in #CorluTrenKatliamı have been detained on June 12, 2019 due to violating Law on Meetings and Demonstrations. Next hearing scheduled for April 13 at Ankara 50th Criminal Court of First Instance.

https://t.co/oy3X7PwIWo"
1236027889025499137,Fri Mar 06 20:36:27 +0000 2020,"@KiKiPosting @albinofirebird Feel better Kimberly. Just got back from urgent care due to persistent cramps that kept me up. I didn’t know a stomach flu was going around. Thank God I went! Drink lots of liquids! ❤️❤️❤️
#FeelBetter"
1236027923091648512,Fri Mar 06 20:36:35 +0000 2020,"*coming off, I Iive to come up with new ideas and how to change organisms, finally America is showing some signs of new change and leadership. If I see it I won't knock them on it at all. #SmartModel"
1236027935502594054,Fri Mar 06 20:36:38 +0000 2020,"God ended a lot of friendships and toxic relationships that I wanted to keep forever and at first I didn’t understand, but now I’m like.... YOU RIGHT MY BAD 😭 a thread 😅"
1236027939789180934,Fri Mar 06 20:36:39 +0000 2020,All I would say is install Visual Studio 2015 and Anaconda.
1236028044621631488,Fri Mar 06 20:37:04 +0000 2020,@MrStephenHowson Even God hates the fucking scousers.....what did they do to piss him off this bad?
1236028052662095872,Fri Mar 06 20:37:06 +0000 2020,@AajKamranKhan @BBhuttoZardari SC playing politics judges r publicity hungry anti PPP govt. what did they &amp; u haram Khan say abt MQM's destructive period in Sindh
